Embalse;Agua embalsada (01-04-2019) (HM3);Porcentaje Agua embalsada (01-04-2019) ;Variacion semana Anterior (HM3);Porcentaje Variacion semana Anterior ;Capacidad (HM3);Agua embalsada Misma Semana (2018) (HM3);Porcentaje Agua embalsada Misma Semana (2018) ;Agua embalsada Misma Semana (Med. 10 Años) (HM3);Porcentaje Agua embalsada Misma Semana (Med. 10 Años) ;Cuenca;Provincia;Municipio Presa;Rio;Tipo de Presa;Año de construccion (Final);Superficie;Abastecimiento;Riego;Electricidad;Industrial;Pesca;Navegación;Baño;Pic-nic;Restaurantes
ALCANTARA;1836;58,1;9;0,28;3160;2452;77,59;2432;76,97;Tajo;Caceres;ALCANTARA;TAJO;Gravedad;1969;10.400,00;0;0;1;0;0;1;0;1;1
ALCORLO;98;54,44;-1;-0,56;180;86;47,78;92;51,17;Tajo;Guadalajara;LA TOBA;BORNOVA;Materiales sueltos núcleo arcilla;1978;599;1;1;0;0;1;1;0;0;0
ALMOGUERA;5;71,43;-1;-14,29;7;6;85,71;5;84,29;Tajo;Guadalajara;ALMOGUERA;TAJO;Gravedad;1947;229;0;1;1;0;1;0;0;0;0
AZUTAN;80;70,8;0;0;113;76;67,26;76;67,43;Tajo;Toledo;AZUTAN Y ALCOLEA DE TAJO;TAJO;Contrafuertes;1969;1.250,00;0;1;1;0;1;0;1;0;0
BAÑOS;33;80,49;0;0;41;28;68,29;34;83,41;Tajo;Caceres;BAÑOS DE MONTEMAYOR;BAÑOS;Materiales sueltos núcleo arcilla;1992;211;0;1;0;0;1;0;0;0;0
BELEÑA;39;73,58;0;0;53;43;81,13;41;78,3;Tajo;Guadalajara;COGOLLUDO/TAMAJON;SORBE;Gravedad;1982;245;1;1;0;0;1;0;0;0;0
BOLARQUE;29;93,55;2;6,45;31;24;77,42;24;79,68;Tajo;Guadalajara;ALMONACID DE ZORITA;TAJO;Gravedad;1910;510;0;1;1;0;1;1;1;1;1
BORBOLLON;57;64,77;-1;-1,14;88;74;84,09;70;79,77;Tajo;Caceres;SANTIBAÑEZ EL ALTO;ARRAGO;Gravedad;1954;888;0;1;1;0;1;1;1;1;1
BUENDIA;305;18,61;-5;-0,31;1639;260;15,86;427;26,06;Tajo;Guadalajara;BUENDIA;GUADIELA;Gravedad;1958;8.195,00;1;1;1;1;1;1;1;1;0
CACERES - GUADILOBA;12;60;0;0;20;18;90;15;75;Tajo;Caceres;CACERES;GUADILOBA;Gravedad;1971;223;1;0;0;0;1;0;1;1;0
CASTREJON;42;95,45;0;0;44;40;90,91;41;94,77;Tajo;Toledo;PUEBLA DE MONTALBAN, LA;TAJO;Materiales sueltos homogenea;1967;750;0;1;1;0;1;0;0;0;0
CAZALEGAS;7;100;1;14,29;7;6;85,71;6;95,71;Tajo;Toledo;CAZALEGAS-SAN ROMAN;ALBERCHE;Gravedad y Materiales sueltos homogenea;1949;150;1;1;0;0;0;1;0;1;1
CEDILLO;241;92,69;-6;-2,31;260;249;95,77;247;95;Tajo;Caceres;CEDILLO;TAJO - SEVER;Arco Gravedad;1978;1.400,00;0;0;1;0;1;1;0;0;0
EL ATANCE;19;54,29;0;0;35;17;48,57;14;42,57;Tajo;Guadalajara;SIGUENZA;SALADO;Hormigón Compactado;1997;280;0;1;0;0;0;0;0;0;0
EL ATAZAR;331;77,7;0;0;426;306;71,83;348;81,83;Tajo;Madrid;PATONES Y ATAZAR;LOZOYA;Bóveda;1972;1.070,00;1;1;1;1;1;1;0;1;0
EL BURGUILLO;108;53,73;-3;-1,49;201;172;85,57;160;80,05;Tajo;Avila;TIEMBLO, EL;ALBERCHE;Gravedad;1913;910;1;1;1;0;1;1;1;1;0
EL CASTRO;2;25;0;0;8;2;25;2;25;Tajo;Toledo;VILLAMUELAS;ALGODOR;Gravedad;1974;98;0;0;0;0;1;0;0;0;0
EL PARDO;7;16,28;-1;-2,33;43;24;55,81;21;48,84;Tajo;Madrid;MADRID/el pardo;MANZANARES;Materiales sueltos homogenea;1970;537;1;0;1;0;0;0;0;0;1
EL TORCON;2;28,57;0;0;7;6;85,71;4;67,14;Tajo;Toledo;NAVAHERMOSA;TORCON;Gravedad;1948;115;1;0;0;0;0;1;0;0;0
EL VADO;31;55,36;-3;-5,36;56;46;82,14;43;77,5;Tajo;Guadalajara;VALDESOTOS;JARAMA;Gravedad;1954;260;1;0;0;0;0;1;0;1;0
EL VILLAR;19;82,61;0;0;23;23;100;21;93,48;Tajo;Madrid;PUENTES VIEJAS/ MANGIRON;LOZOYA;Arco Gravedad;1882;144;1;0;1;0;1;0;0;0;1
ENTREPEÑAS;295;35,33;-7;-0,84;835;207;24,79;324;38,8;Tajo;Guadalajara;SACEDON, AUÑON;TAJO;Gravedad;1956;3.213,00;1;1;1;0;1;1;1;1;1
FINISTERRE;13;9,77;0;0;133;16;12,03;31;23,68;Tajo;Toledo;TEMBLEQUE;ALGODOR;Materiales sueltos homogenea;1977;1.297,00;1;1;0;0;1;0;0;0;1
GABRIEL Y GALAN;529;58,07;1;0,11;911;643;70,58;661;72,59;Tajo;Caceres;GUIJO DE GRANADILLA;ALAGON;Gravedad;1961;4.683,00;0;1;1;0;1;1;1;1;1
GUAJARAZ;15;83,33;0;0;18;17;94,44;15;86,67;Tajo;Toledo;ARGES, LAYOS Y CASASBUENAS;GUAJARAZ;Materiales sueltos P asfáltica;1971;141;1;0;0;0;1;0;0;0;0
GUIJO DE GRANADILLA;12;92,31;0;0;13;10;76,92;10;83,85;Tajo;Caceres;GUIJO DE GRANADILLA;ALAGON;Bóveda;1982;124;0;0;1;0;0;1;0;0;0
JERTE - PLASENCIA;37;62,71;0;0;59;41;69,49;41;69,66;Tajo;Caceres;PLASENCIA;JERTE;Materiales sueltos núcleo arcilla;1985;667;1;1;1;0;1;0;1;1;0
